gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math score,reading score,writing score,avg_score,performance
male,group C,bachelor's degree,standard,none,73,73,72,72.7,High
male,group E,some college,standard,none,70,68,64,67.3,Average
male,group B,master's degree,standard,none,49,38,45,44.0,Low
female,group D,master's degree,standard,none,65,59,67,63.7,Average
male,group A,high school,free/reduced,none,92,79,98,89.7,High
male,group C,associate's degree,standard,none,59,61,58,59.3,Average
male,group C,master's degree,standard,completed,96,86,100,94.0,High
female,group C,associate's degree,standard,none,75,74,70,73.0,High
female,group D,master's degree,standard,none,74,82,62,72.7,High
male,group C,associate's degree,standard,completed,73,86,87,82.0,High
male,group C,some college,standard,none,83,84,70,79.0,High
female,group C,some college,standard,none,61,62,63,62.0,Average
male,group C,some college,standard,completed,81,96,100,92.3,High
female,group C,bachelor's degree,free/reduced,none,72,78,76,75.3,High
female,group B,some college,free/reduced,completed,44,45,37,42.0,Low
female,group D,associate's degree,free/reduced,completed,72,57,69,66.0,Average
female,group D,associate's degree,standard,none,61,66,64,63.7,Average
male,group D,associate's degree,free/reduced,none,54,63,59,58.7,Average
female,group C,master's degree,free/reduced,none,92,84,95,90.3,High
male,group C,master's degree,standard,none,74,75,67,72.0,High
male,group E,some college,free/reduced,none,68,67,83,72.7,High
male,group D,bachelor's degree,standard,none,60,59,63,60.7,Average
male,group C,bachelor's degree,free/reduced,none,54,34,58,48.7,Low
female,group A,associate's degree,free/reduced,none,45,46,44,45.0,Low
male,group C,master's degree,standard,none,65,71,74,70.0,High
male,group C,some college,free/reduced,none,62,59,63,61.3,Average
female,group C,high school,standard,none,42,45,47,44.7,Low
male,group D,master's degree,free/reduced,completed,63,54,53,56.7,Average
male,group D,associate's degree,standard,none,59,64,56,59.7,Average
male,group D,master's degree,free/reduced,none,42,40,47,43.0,Low
male,group D,master's degree,standard,completed,62,57,61,60.0,Average
male,group E,high school,standard,none,53,66,51,56.7,Average
female,group D,master's degree,standard,none,76,83,73,77.3,High
male,group E,associate's degree,free/reduced,none,82,78,89,83.0,High
male,group A,associate's degree,free/reduced,none,79,84,78,80.3,High
female,group C,associate's degree,free/reduced,none,45,52,48,48.3,Low
female,group A,master's degree,free/reduced,none,85,90,88,87.7,High
female,group D,some high school,standard,none,80,67,68,71.7,High
male,group E,associate's degree,standard,completed,75,87,68,76.7,High
male,group C,bachelor's degree,standard,none,58,56,63,59.0,Average
female,group E,bachelor's degree,standard,none,63,61,60,61.3,Average
male,group A,bachelor's degree,standard,completed,89,100,96,95.0,High
female,group E,high school,standard,none,60,64,70,64.7,Average
male,group C,some college,standard,completed,58,58,67,61.0,Average
male,group B,some college,standard,none,79,62,93,78.0,High
male,group C,bachelor's degree,standard,completed,82,88,80,83.3,High
female,group C,some college,standard,none,58,49,65,57.3,Average
female,group C,some college,free/reduced,completed,63,60,63,62.0,Average
female,group C,master's degree,free/reduced,completed,69,63,86,72.7,High
female,group E,some high school,free/reduced,none,67,80,85,77.3,High
male,group D,master's degree,standard,none,47,52,47,48.7,Low
male,group C,bachelor's degree,standard,none,68,68,74,70.0,High
male,group D,bachelor's degree,free/reduced,none,58,59,67,61.3,Average
male,group D,some college,standard,none,73,70,75,72.7,High
male,group C,some high school,standard,none,86,88,85,86.3,High
male,group C,bachelor's degree,standard,none,59,58,64,60.3,Average
male,group B,master's degree,standard,none,46,56,51,51.0,Average
male,group B,bachelor's degree,standard,none,44,55,49,49.3,Low
female,group D,high school,standard,none,80,85,78,81.0,High
female,group B,bachelor's degree,free/reduced,none,60,58,50,56.0,Average
female,group D,bachelor's degree,standard,none,76,80,78,78.0,High
male,group D,bachelor's degree,standard,none,64,64,72,66.7,Average
male,group B,bachelor's degree,free/reduced,none,62,54,62,59.3,Average
female,group D,master's degree,standard,none,85,83,98,88.7,High
male,group C,associate's degree,standard,none,74,76,72,74.0,High
male,group E,high school,free/reduced,none,56,65,53,58.0,Average
female,group C,associate's degree,standard,completed,55,58,57,56.7,Average
female,group E,high school,standard,none,55,48,57,53.3,Average
male,group D,some college,standard,completed,47,51,55,51.0,Average
male,group A,some college,standard,completed,47,47,42,45.3,Low
male,group D,high school,standard,completed,51,51,61,54.3,Average
male,group E,some college,free/reduced,completed,55,64,71,63.3,Average
male,group D,high school,standard,none,70,80,74,74.7,High
male,group E,bachelor's degree,standard,none,81,76,91,82.7,High
male,group E,master's degree,standard,completed,80,72,72,74.7,High
male,group C,high school,standard,none,76,69,86,77.0,High
female,group C,master's degree,standard,none,84,90,95,89.7,High
female,group D,associate's degree,standard,completed,45,59,57,53.7,Average
female,group C,some college,standard,completed,84,83,85,84.0,High
male,group E,high school,standard,completed,56,55,35,48.7,Low
male,group E,associate's degree,standard,completed,86,100,85,90.3,High
male,group C,bachelor's degree,standard,completed,63,69,59,63.7,Average
female,group C,bachelor's degree,free/reduced,none,94,95,88,92.3,High
female,group E,high school,standard,completed,41,34,44,39.7,Low
female,group C,high school,standard,none,41,49,42,44.0,Low
female,group E,some college,standard,none,84,77,81,80.7,High
male,group C,some college,free/reduced,completed,58,50,53,53.7,Average
female,group D,some college,standard,none,70,69,68,69.0,Average
female,group B,some college,free/reduced,none,87,83,97,89.0,High
male,group D,bachelor's degree,free/reduced,none,85,83,82,83.3,High
female,group C,master's degree,free/reduced,completed,92,80,87,86.3,High
female,group D,some college,standard,none,95,100,95,96.7,High
male,group B,master's degree,standard,completed,61,72,66,66.3,Average
female,group D,some college,free/reduced,none,82,67,87,78.7,High
male,group E,associate's degree,free/reduced,completed,65,77,49,63.7,Average
male,group C,some college,free/reduced,completed,75,69,83,75.7,High
male,group B,bachelor's degree,standard,none,48,57,61,55.3,Average
female,group A,master's degree,standard,none,59,57,51,55.7,Average
male,group D,associate's degree,standard,none,93,94,89,92.0,High
female,group D,some college,free/reduced,completed,80,77,78,78.3,High
female,group D,bachelor's degree,standard,completed,64,71,57,64.0,Average
female,group C,high school,standard,completed,46,37,50,44.3,Low
male,group C,master's degree,free/reduced,none,64,67,50,60.3,Average
female,group D,associate's degree,standard,completed,85,96,78,86.3,High
female,group C,associate's degree,free/reduced,completed,84,89,96,89.7,High
male,group E,associate's degree,standard,completed,73,88,67,76.0,High
female,group B,associate's degree,standard,completed,46,47,59,50.7,Average
female,group D,high school,standard,none,61,71,67,66.3,Average
female,group C,bachelor's degree,free/reduced,none,73,71,60,68.0,Average
female,group C,some college,standard,completed,84,92,90,88.7,High
female,group D,bachelor's degree,standard,completed,77,75,76,76.0,High
female,group D,bachelor's degree,free/reduced,none,72,67,69,69.3,Average
male,group E,bachelor's degree,standard,none,76,88,82,82.0,High
female,group B,associate's degree,standard,none,47,46,53,48.7,Low
female,group B,associate's degree,standard,none,90,79,97,88.7,High
male,group D,high school,standard,none,68,65,79,70.7,High
female,group D,bachelor's degree,standard,completed,62,67,65,64.7,Average
male,group C,some college,standard,completed,80,90,74,81.3,High
female,group B,associate's degree,standard,none,61,64,61,62.0,Average
female,group B,some college,standard,none,71,83,96,83.3,High
female,group E,high school,free/reduced,none,78,68,85,77.0,High
female,group C,associate's degree,standard,none,55,54,74,61.0,Average
female,group C,high school,standard,completed,82,79,92,84.3,High
female,group C,bachelor's degree,standard,completed,64,63,64,63.7,Average
female,group C,some college,standard,none,68,70,73,70.3,High
female,group A,some high school,standard,completed,49,59,55,54.3,Average
female,group D,associate's degree,standard,completed,61,59,48,56.0,Average
female,group A,some high school,free/reduced,completed,78,81,80,79.7,High
female,group E,some college,standard,none,68,69,80,72.3,High
female,group C,bachelor's degree,free/reduced,completed,67,58,60,61.7,Average
male,group D,high school,free/reduced,none,74,74,80,76.0,High
female,group E,master's degree,standard,none,43,43,50,45.3,Low
male,group D,some high school,standard,none,64,64,61,63.0,Average
male,group D,some college,standard,none,76,77,76,76.3,High
female,group C,bachelor's degree,free/reduced,none,55,55,48,52.7,Average
male,group C,some college,standard,none,66,64,63,64.3,Average
male,group D,high school,standard,none,81,92,76,83.0,High
female,group E,some college,standard,completed,76,70,70,72.0,High
female,group D,some college,free/reduced,completed,50,45,60,51.7,Average
male,group D,master's degree,free/reduced,none,72,94,69,78.3,High
male,group D,some college,standard,completed,50,45,51,48.7,Low
female,group C,bachelor's degree,free/reduced,completed,71,57,64,64.0,Average
female,group A,master's degree,standard,completed,84,91,94,89.7,High
female,group D,associate's degree,standard,none,91,75,100,88.7,High
female,group E,master's degree,free/reduced,completed,94,88,99,93.7,High
male,group B,some college,standard,completed,64,79,67,70.0,High
female,group D,master's degree,standard,completed,97,81,95,91.0,High
female,group C,high school,standard,none,70,56,63,63.0,Average
male,group D,bachelor's degree,free/reduced,none,69,57,83,69.7,Average
female,group B,associate's degree,free/reduced,completed,67,75,67,69.7,Average
female,group C,some college,standard,none,51,62,60,57.7,Average
male,group D,bachelor's degree,free/reduced,none,82,79,92,84.3,High
male,group C,bachelor's degree,standard,none,64,70,63,65.7,Average
female,group D,some high school,standard,completed,46,58,54,52.7,Average
male,group E,high school,standard,completed,55,72,65,64.0,Average
female,group E,bachelor's degree,standard,none,60,59,74,64.3,Average
female,group C,bachelor's degree,standard,completed,55,37,48,46.7,Low
male,group C,master's degree,free/reduced,none,71,66,64,67.0,Average
female,group B,bachelor's degree,standard,completed,98,86,90,91.3,High
female,group E,master's degree,standard,completed,70,67,67,68.0,Average
female,group E,bachelor's degree,standard,completed,64,64,66,64.7,Average
female,group D,some college,standard,completed,72,84,73,76.3,High
female,group E,high school,free/reduced,none,76,87,67,76.7,High
female,group D,bachelor's degree,standard,completed,68,67,72,69.0,Average
female,group D,bachelor's degree,standard,none,76,83,91,83.3,High
female,group B,some high school,free/reduced,completed,69,73,76,72.7,High
male,group D,some college,standard,completed,69,67,74,70.0,High
male,group B,master's degree,standard,completed,59,66,64,63.0,Average
male,group E,associate's degree,standard,none,76,78,82,78.7,High
male,group E,associate's degree,standard,completed,64,84,73,73.7,High
female,group D,associate's degree,free/reduced,none,60,50,65,58.3,Average
female,group A,some college,free/reduced,none,64,62,65,63.7,Average
male,group C,some college,standard,completed,61,63,61,61.7,Average
male,group C,some college,free/reduced,none,55,61,57,57.7,Average
male,group C,high school,standard,completed,67,78,74,73.0,High
female,group B,bachelor's degree,standard,none,62,63,62,62.3,Average
female,group E,associate's degree,standard,none,54,45,58,52.3,Average
female,group D,bachelor's degree,standard,completed,82,85,84,83.7,High
female,group C,master's degree,standard,none,89,94,97,93.3,High
male,group C,some college,standard,none,98,83,100,93.7,High
male,group C,bachelor's degree,free/reduced,completed,69,63,68,66.7,Average
female,group D,associate's degree,standard,none,46,36,39,40.3,Low
male,group D,master's degree,standard,none,48,43,46,45.7,Low
male,group E,some college,standard,none,89,82,92,87.7,High
female,group C,bachelor's degree,standard,completed,72,77,62,70.3,High
female,group E,associate's degree,standard,completed,67,67,76,70.0,High
female,group E,some college,standard,completed,80,73,84,79.0,High
female,group C,high school,free/reduced,none,78,86,84,82.7,High
female,group E,bachelor's degree,standard,completed,81,67,91,79.7,High
female,group B,bachelor's degree,standard,completed,59,63,53,58.3,Average
female,group E,some college,standard,completed,85,79,90,84.7,High
female,group C,bachelor's degree,standard,none,91,85,89,88.3,High
male,group E,some college,standard,completed,43,49,44,45.3,Low
female,group E,bachelor's degree,free/reduced,completed,73,71,66,70.0,High
male,group E,some college,standard,none,54,67,70,63.7,Average
female,group E,master's degree,standard,none,96,92,92,93.3,High
male,group C,some college,standard,completed,53,59,62,58.0,Average
female,group B,some college,standard,none,63,61,53,59.0,Average
female,group C,high school,standard,completed,64,68,75,69.0,Average
male,group B,high school,free/reduced,completed,77,78,85,80.0,High
male,group D,associate's degree,standard,none,32,35,36,34.3,Low
male,group C,some college,free/reduced,none,62,49,62,57.7,Average
female,group E,master's degree,standard,none,66,68,70,68.0,Average
female,group D,some high school,free/reduced,completed,88,90,100,92.7,High
male,group E,some college,standard,none,59,56,49,54.7,Average
male,group B,some college,free/reduced,completed,53,44,59,52.0,Average
male,group E,some high school,standard,none,78,91,76,81.7,High
male,group E,high school,free/reduced,none,69,74,72,71.7,High
female,group C,associate's degree,standard,none,81,80,82,81.0,High
male,group D,associate's degree,standard,none,54,47,53,51.3,Average
female,group D,some college,standard,completed,71,67,71,69.7,Average
female,group B,associate's degree,free/reduced,none,50,63,46,53.0,Average
female,group C,associate's degree,standard,none,60,63,71,64.7,Average
female,group C,some high school,free/reduced,none,57,55,47,53.0,Average
female,group B,associate's degree,standard,none,73,78,80,77.0,High
female,group C,master's degree,standard,none,86,77,83,82.0,High
male,group A,associate's degree,standard,completed,73,82,64,73.0,High
female,group A,bachelor's degree,free/reduced,none,68,79,72,73.0,High
male,group B,some college,free/reduced,none,65,63,57,61.7,Average
female,group E,bachelor's degree,free/reduced,none,90,85,92,89.0,High
female,group D,bachelor's degree,standard,completed,64,45,54,54.3,Average
male,group E,associate's degree,standard,none,39,30,44,37.7,Low
female,group C,master's degree,free/reduced,none,63,52,57,57.3,Average
female,group C,high school,standard,completed,73,72,72,72.3,High
female,group C,some high school,free/reduced,none,55,55,60,56.7,Average
female,group C,bachelor's degree,free/reduced,none,79,69,76,74.7,High
male,group B,bachelor's degree,free/reduced,none,48,48,51,49.0,Low
female,group D,high school,free/reduced,completed,83,88,76,82.3,High
male,group C,some college,standard,none,51,58,59,56.0,Average
female,group D,some high school,standard,completed,75,56,85,72.0,High
male,group D,some college,free/reduced,completed,84,85,100,89.7,High
male,group B,bachelor's degree,standard,none,47,36,47,43.3,Low
male,group A,associate's degree,free/reduced,none,95,100,100,98.3,High
female,group E,some college,free/reduced,none,53,62,44,53.0,Average
female,group C,some college,standard,completed,91,84,100,91.7,High
female,group A,some high school,free/reduced,none,61,57,69,62.3,Average
male,group E,some college,standard,none,63,61,62,62.0,Average
male,group A,bachelor's degree,standard,none,67,48,74,63.0,Average
male,group D,master's degree,standard,completed,74,75,72,73.7,High
female,group E,master's degree,standard,none,58,58,58,58.0,Average
male,group C,some high school,standard,completed,50,58,56,54.7,Average
male,group B,master's degree,standard,none,41,33,34,36.0,Low
female,group B,bachelor's degree,free/reduced,none,74,69,83,75.3,High
female,group C,bachelor's degree,free/reduced,none,87,72,78,79.0,High
male,group B,associate's degree,standard,none,47,42,42,43.7,Low
male,group D,some college,standard,none,53,46,49,49.3,Low
male,group A,some college,free/reduced,none,60,70,69,66.3,Average
female,group C,high school,standard,completed,55,51,55,53.7,Average
male,group E,some college,standard,completed,63,69,59,63.7,Average
female,group E,some college,standard,completed,60,58,58,58.7,Average
female,group D,associate's degree,standard,none,81,72,83,78.7,High
female,group C,bachelor's degree,standard,none,74,72,67,71.0,High
male,group D,associate's degree,free/reduced,none,62,69,58,63.0,Average
male,group D,high school,standard,completed,65,58,80,67.7,Average
male,group C,master's degree,standard,completed,67,73,60,66.7,Average
female,group B,master's degree,standard,none,66,58,63,62.3,Average
male,group E,bachelor's degree,standard,none,70,68,70,69.3,Average
female,group C,master's degree,free/reduced,none,61,64,59,61.3,Average
male,group C,associate's degree,free/reduced,none,58,55,65,59.3,Average
female,group C,master's degree,free/reduced,none,53,56,63,57.3,Average
female,group C,high school,standard,none,68,67,69,68.0,Average
female,group E,some college,free/reduced,completed,82,82,78,80.7,High
female,group D,some college,free/reduced,none,53,36,63,50.7,Average
male,group D,some college,free/reduced,none,85,71,86,80.7,High
female,group A,high school,standard,completed,100,100,100,100.0,High
female,group C,associate's degree,standard,none,39,50,27,38.7,Low
male,group C,bachelor's degree,standard,none,64,56,65,61.7,Average
female,group A,associate's degree,free/reduced,none,63,63,79,68.3,Average
male,group C,high school,standard,none,93,96,94,94.3,High
male,group D,bachelor's degree,standard,none,91,97,93,93.7,High
male,group B,bachelor's degree,free/reduced,completed,87,66,86,79.7,High
female,group D,some college,free/reduced,none,48,44,47,46.3,Low
male,group C,bachelor's degree,free/reduced,none,82,78,81,80.3,High
male,group A,some college,standard,completed,65,70,62,65.7,Average
female,group C,some college,free/reduced,none,84,100,84,89.3,High
female,group E,master's degree,standard,completed,98,92,100,96.7,High
male,group E,some college,standard,completed,68,59,71,66.0,Average
male,group E,associate's degree,standard,none,50,56,55,53.7,Average
male,group C,master's degree,standard,completed,58,69,64,63.7,Average
male,group B,bachelor's degree,standard,none,68,68,66,67.3,Average
male,group D,high school,free/reduced,completed,76,66,69,70.3,High
female,group C,high school,standard,none,86,94,86,88.7,High
female,group E,some high school,free/reduced,completed,84,89,87,86.7,High
female,group B,bachelor's degree,standard,completed,85,73,76,78.0,High
male,group C,associate's degree,standard,none,50,56,50,52.0,Average
female,group B,high school,standard,none,65,75,65,68.3,Average
male,group C,master's degree,standard,completed,86,94,100,93.3,High
male,group D,associate's degree,standard,completed,61,62,42,55.0,Average
male,group C,some college,standard,none,47,47,49,47.7,Low
female,group C,associate's degree,standard,completed,48,60,60,56.0,Average
male,group C,bachelor's degree,standard,none,81,69,81,77.0,High
female,group C,high school,standard,none,68,73,77,72.7,High
male,group E,some college,free/reduced,none,82,72,85,79.7,High
female,group E,bachelor's degree,standard,none,52,60,48,53.3,Average
female,group E,associate's degree,free/reduced,completed,85,81,68,78.0,High
male,group E,associate's degree,free/reduced,none,52,65,58,58.3,Average
female,group C,associate's degree,free/reduced,completed,71,77,67,71.7,High
female,group D,some high school,free/reduced,none,73,65,70,69.3,Average
male,group C,high school,standard,none,45,59,46,50.0,Average
male,group C,associate's degree,free/reduced,none,78,92,95,88.3,High
male,group E,some college,free/reduced,none,48,58,69,58.3,Average
male,group A,some high school,standard,none,61,57,65,61.0,Average
male,group E,master's degree,standard,none,72,70,71,71.0,High
female,group C,master's degree,standard,none,57,57,49,54.3,Average
female,group D,bachelor's degree,free/reduced,none,43,39,48,43.3,Low
female,group D,master's degree,free/reduced,none,59,75,76,70.0,High
male,group E,some college,standard,none,69,72,71,70.7,High
male,group D,master's degree,standard,completed,58,32,37,42.3,Low
female,group D,some college,standard,completed,81,81,87,83.0,High
female,group A,master's degree,standard,none,96,91,100,95.7,High
male,group D,master's degree,free/reduced,none,65,63,54,60.7,Average
female,group B,bachelor's degree,standard,none,62,61,66,63.0,Average
male,group D,master's degree,standard,completed,62,72,70,68.0,Average
female,group D,associate's degree,standard,none,91,100,94,95.0,High
male,group D,some college,free/reduced,none,83,86,81,83.3,High
female,group A,associate's degree,standard,none,52,52,62,55.3,Average
male,group B,associate's degree,free/reduced,none,90,90,90,90.0,High
male,group D,high school,standard,none,49,52,42,47.7,Low
male,group B,associate's degree,standard,completed,100,92,84,92.0,High
male,group B,master's degree,standard,none,87,91,98,92.0,High
male,group A,some college,standard,none,42,49,50,47.0,Low
male,group E,bachelor's degree,standard,none,37,49,38,41.3,Low
female,group D,master's degree,free/reduced,none,38,51,39,42.7,Low
male,group C,master's degree,free/reduced,completed,43,40,43,42.0,Low
male,group C,master's degree,free/reduced,none,79,87,75,80.3,High
female,group C,associate's degree,standard,completed,69,61,64,64.7,Average
male,group E,master's degree,free/reduced,none,62,69,50,60.3,Average
male,group D,bachelor's degree,standard,none,67,63,63,64.3,Average
male,group B,high school,standard,completed,98,87,94,93.0,High
female,group B,associate's degree,standard,none,66,70,74,70.0,High
female,group B,bachelor's degree,standard,completed,70,48,70,62.7,Average
male,group D,some college,free/reduced,none,51,39,58,49.3,Low
male,group D,bachelor's degree,standard,completed,100,100,100,100.0,High
female,group C,bachelor's degree,standard,none,85,84,93,87.3,High
male,group A,high school,standard,none,53,52,59,54.7,Average
male,group B,associate's degree,standard,completed,38,26,39,34.3,Low
female,group E,bachelor's degree,standard,completed,45,42,39,42.0,Low
male,group C,associate's degree,standard,completed,61,65,68,64.7,Average
female,group D,some high school,free/reduced,completed,66,69,79,71.3,High
female,group D,some high school,free/reduced,completed,93,91,93,92.3,High
female,group C,some college,standard,none,64,75,82,73.7,High
male,group C,master's degree,standard,none,76,79,68,74.3,High
female,group B,some college,standard,none,55,51,50,52.0,Average
female,group D,bachelor's degree,free/reduced,none,82,81,91,84.7,High
female,group E,some college,standard,none,76,66,80,74.0,High
male,group D,some college,standard,none,52,54,64,56.7,Average
male,group D,master's degree,standard,none,75,85,79,79.7,High
female,group A,bachelor's degree,standard,completed,71,76,63,70.0,High
female,group E,high school,standard,none,49,63,52,54.7,Average
male,group E,associate's degree,free/reduced,none,62,61,54,59.0,Average
female,group C,some high school,standard,none,76,88,72,78.7,High
female,group E,associate's degree,standard,completed,95,94,100,96.3,High
female,group D,bachelor's degree,free/reduced,completed,62,75,71,69.3,Average
female,group D,high school,free/reduced,completed,88,90,93,90.3,High
female,group D,some college,standard,none,57,65,49,57.0,Average
female,group E,some college,standard,none,81,94,83,86.0,High
female,group D,master's degree,standard,none,57,58,52,55.7,Average
male,group B,master's degree,free/reduced,none,82,85,94,87.0,High
female,group C,some high school,standard,none,65,77,65,69.0,Average
male,group E,bachelor's degree,free/reduced,none,69,69,63,67.0,Average
male,group C,some college,free/reduced,none,70,61,72,67.7,Average
female,group C,some college,standard,completed,86,100,86,90.7,High
male,group C,bachelor's degree,standard,completed,62,58,71,63.7,Average
female,group C,master's degree,standard,none,64,66,61,63.7,Average
male,group D,master's degree,standard,none,50,60,42,50.7,Average
female,group E,associate's degree,standard,none,75,71,63,69.7,Average
female,group C,some college,free/reduced,none,51,45,53,49.7,Low
female,group B,bachelor's degree,free/reduced,completed,62,62,56,60.0,Average
male,group C,some college,standard,none,84,70,76,76.7,High
female,group E,associate's degree,free/reduced,completed,55,54,63,57.3,Average
male,group D,some college,standard,none,69,73,77,73.0,High
female,group C,bachelor's degree,standard,completed,75,73,75,74.3,High
male,group E,some college,standard,none,90,78,100,89.3,High
female,group E,some college,standard,completed,97,100,100,99.0,High
male,group E,master's degree,free/reduced,none,74,76,71,73.7,High
female,group E,high school,free/reduced,none,61,74,58,64.3,Average
female,group C,associate's degree,standard,none,78,77,87,80.7,High
female,group D,some college,standard,none,33,29,38,33.3,Low
female,group C,some high school,standard,completed,62,63,64,63.0,Average
male,group E,some high school,standard,completed,53,54,48,51.7,Average
female,group D,high school,free/reduced,completed,65,58,70,64.3,Average
male,group E,master's degree,free/reduced,none,62,75,60,65.7,Average
female,group D,some college,standard,completed,63,58,64,61.7,Average
male,group B,master's degree,standard,none,55,43,67,55.0,Average
female,group D,associate's degree,standard,none,77,89,77,81.0,High
female,group E,associate's degree,standard,none,81,78,73,77.3,High
male,group E,associate's degree,standard,none,71,68,66,68.3,Average
female,group A,associate's degree,standard,none,85,72,94,83.7,High
female,group B,bachelor's degree,free/reduced,none,48,62,51,53.7,Average
male,group B,some college,free/reduced,none,77,68,78,74.3,High
male,group D,some college,standard,completed,71,70,68,69.7,Average
female,group E,master's degree,standard,none,51,60,57,56.0,Average
female,group C,master's degree,standard,none,56,62,54,57.3,Average
male,group C,master's degree,standard,none,75,75,79,76.3,High
female,group E,associate's degree,free/reduced,none,63,51,60,58.0,Average
female,group D,bachelor's degree,standard,none,58,50,50,52.7,Average
female,group D,associate's degree,standard,completed,81,81,77,79.7,High
male,group D,associate's degree,standard,none,88,82,88,86.0,High
male,group C,some college,free/reduced,completed,61,63,61,61.7,Average
female,group C,associate's degree,standard,none,50,58,55,54.3,Average
female,group D,some college,standard,completed,66,74,43,61.0,Average
female,group D,some college,standard,none,56,48,53,52.3,Average
male,group E,master's degree,free/reduced,none,66,85,68,73.0,High
female,group D,some college,free/reduced,completed,69,79,84,77.3,High
female,group D,high school,standard,none,91,91,86,89.3,High
male,group B,high school,free/reduced,none,66,76,71,71.0,High
female,group C,master's degree,free/reduced,completed,61,82,74,72.3,High
male,group A,associate's degree,free/reduced,none,71,61,64,65.3,Average
female,group C,some college,standard,completed,90,87,93,90.0,High
female,group D,bachelor's degree,standard,none,70,52,66,62.7,Average
female,group E,master's degree,standard,completed,74,76,72,74.0,High
male,group B,some college,free/reduced,none,76,80,74,76.7,High
male,group C,bachelor's degree,standard,none,73,71,68,70.7,High
male,group E,bachelor's degree,free/reduced,none,54,49,74,59.0,Average
female,group C,bachelor's degree,standard,none,43,29,51,41.0,Low
male,group D,high school,free/reduced,none,67,72,78,72.3,High
female,group D,master's degree,free/reduced,none,51,61,55,55.7,Average
female,group D,associate's degree,standard,none,89,85,80,84.7,High
male,group B,some college,free/reduced,none,57,63,63,61.0,Average
female,group C,associate's degree,standard,none,88,76,97,87.0,High
female,group E,some high school,free/reduced,completed,69,72,65,68.7,Average
female,group D,high school,standard,none,69,67,79,71.7,High
female,group A,bachelor's degree,standard,none,66,62,74,67.3,Average
female,group D,some high school,free/reduced,none,46,43,62,50.3,Average
male,group A,associate's degree,standard,none,59,58,59,58.7,Average
female,group D,associate's degree,free/reduced,completed,40,48,37,41.7,Low
male,group C,high school,standard,none,65,56,65,62.0,Average
male,group E,master's degree,standard,completed,59,58,72,63.0,Average
female,group C,some college,standard,none,89,89,79,85.7,High
female,group C,some college,standard,completed,54,43,40,45.7,Low
female,group B,some college,standard,none,56,73,61,63.3,Average
male,group C,some college,standard,completed,77,71,75,74.3,High
female,group E,some high school,standard,none,86,81,89,85.3,High
male,group E,bachelor's degree,standard,none,82,72,88,80.7,High
female,group C,master's degree,free/reduced,none,68,80,65,71.0,High
male,group C,some college,free/reduced,none,73,79,63,71.7,High
female,group D,bachelor's degree,standard,completed,44,38,60,47.3,Low
female,group E,bachelor's degree,free/reduced,none,89,95,82,88.7,High
male,group D,master's degree,standard,none,65,65,57,62.3,Average
male,group C,associate's degree,free/reduced,completed,63,68,71,67.3,Average
female,group C,some college,free/reduced,none,61,60,61,60.7,Average
male,group D,some college,free/reduced,completed,57,56,58,57.0,Average
female,group A,bachelor's degree,standard,completed,96,100,100,98.7,High
male,group D,bachelor's degree,free/reduced,none,47,42,54,47.7,Low
male,group C,some college,standard,completed,63,79,64,68.7,Average
female,group E,some college,free/reduced,none,49,41,62,50.7,Average
female,group B,master's degree,standard,none,80,93,69,80.7,High
female,group D,bachelor's degree,standard,none,80,79,87,82.0,High
male,group C,master's degree,free/reduced,none,72,75,69,72.0,High
male,group D,bachelor's degree,free/reduced,completed,69,71,79,73.0,High
female,group A,some college,standard,completed,94,88,95,92.3,High
female,group D,associate's degree,free/reduced,none,63,72,62,65.7,Average
male,group D,bachelor's degree,standard,none,74,50,76,66.7,Average
male,group D,high school,standard,completed,62,58,70,63.3,Average
male,group D,associate's degree,standard,none,92,85,99,92.0,High
female,group D,bachelor's degree,standard,none,63,54,57,58.0,Average
female,group E,high school,standard,none,75,75,75,75.0,High
female,group C,bachelor's degree,standard,completed,55,63,59,59.0,Average
male,group E,associate's degree,standard,none,50,58,54,54.0,Average
female,group C,master's degree,standard,completed,54,57,59,56.7,Average
male,group B,some high school,standard,completed,55,50,45,50.0,Average
female,group A,some college,free/reduced,none,61,66,67,64.7,Average
male,group C,associate's degree,free/reduced,none,46,50,47,47.7,Low
male,group E,some college,standard,completed,38,50,34,40.7,Low
male,group D,bachelor's degree,standard,none,79,82,74,78.3,High
female,group E,bachelor's degree,standard,completed,99,99,99,99.0,High
female,group D,high school,standard,completed,62,54,36,50.7,Average
female,group C,associate's degree,free/reduced,none,65,62,63,63.3,Average
male,group B,associate's degree,standard,completed,70,65,66,67.0,Average
male,group C,some college,standard,completed,63,63,66,64.0,Average
male,group C,master's degree,standard,completed,92,95,87,91.3,High
male,group B,bachelor's degree,standard,none,52,59,53,54.7,Average
male,group C,bachelor's degree,free/reduced,none,54,55,67,58.7,Average
female,group D,bachelor's degree,free/reduced,none,83,81,90,84.7,High
male,group D,associate's degree,standard,completed,76,79,86,80.3,High
female,group E,master's degree,standard,none,52,48,49,49.7,Low
female,group E,bachelor's degree,free/reduced,completed,70,63,72,68.3,Average
female,group D,bachelor's degree,free/reduced,none,65,52,64,60.3,Average
female,group C,master's degree,standard,none,70,66,71,69.0,Average
female,group D,some college,standard,none,88,92,94,91.3,High
